iter	Logloss
0	0.6206538011
1	0.5688147551
2	0.5315011854
3	0.5019001139
4	0.4777492128
5	0.4591112553
6	0.4427851254
7	0.4296570697
8	0.4177023033
9	0.4090310603
10	0.4018037417
11	0.395898534
12	0.3909222053
13	0.3861532775
14	0.3818453786
15	0.3778706575
16	0.3746924246
17	0.3720715468
18	0.3696957937
19	0.367413371
20	0.3651531401
21	0.3630438049
22	0.3611004825
23	0.3595903512
24	0.3583096973
25	0.3568047741
26	0.3556391125
27	0.3544703168
28	0.3533320321
29	0.3517705345
30	0.350808817
31	0.3500055768
32	0.3490877822
33	0.3481942765
34	0.3470065152
35	0.3460659525
36	0.3453939509
37	0.3446497047
38	0.344134475
39	0.3433369267
40	0.3426074981
41	0.3417179792
42	0.3410999017
43	0.3405448511
44	0.3398503811
45	0.3394506967
46	0.3388460312
47	0.3382748494
48	0.3375426324
49	0.337153272
50	0.3365197777
51	0.3358351247
52	0.335136691
53	0.3343385205
54	0.3338526496
55	0.3334564449
56	0.3332007658
57	0.3326263578
58	0.3318765117
59	0.331301735
60	0.3307398171
61	0.3302128117
62	0.3295968774
63	0.3291531779
64	0.3286096726
65	0.3283015903
66	0.327742092
67	0.3271652643
68	0.3267541959
69	0.3261525723
70	0.3257386695
71	0.3253884847
72	0.3251461945
73	0.3245647809
74	0.3240619492
75	0.3234426505
76	0.3232626496
77	0.3230813352
78	0.3224283223
79	0.3220322559
80	0.3215122099
81	0.321147968
82	0.320856639
83	0.3203788337
84	0.3200541362
85	0.3196450036
86	0.3191953126
87	0.3191082042
88	0.3188935905
89	0.3185993348
90	0.3183153571
91	0.3178626242
92	0.3174675487
93	0.31720067
94	0.3169081426
95	0.3166730193
96	0.3164273415
97	0.3161093039
98	0.3158905882
99	0.3157431954
100	0.3155014122
101	0.3152906699
102	0.3150658935
103	0.3147362645
104	0.31451294
105	0.3142580444
106	0.3139808647
107	0.3135766406
108	0.3133648383
109	0.3131875567
110	0.3127892319
111	0.3126209147
112	0.3122052604
113	0.3117810567
114	0.311701553
115	0.311327909
116	0.3111979378
117	0.3107225982
118	0.3100540993
119	0.309663725
120	0.3092727053
121	0.3090084997
122	0.3088470497
123	0.3084025668
124	0.3079694678
125	0.3076047881
126	0.3072460769
127	0.3069499316
128	0.3067153383
129	0.3065093201
130	0.3063074731
131	0.3057189618
132	0.3053484057
133	0.3051280769
134	0.3050881407
135	0.3049075868
136	0.3046707581
137	0.3045719432
138	0.3043164485
139	0.3041655759
140	0.3041080337
141	0.3038088696
142	0.3035625465
143	0.3033435774
144	0.3032139058
145	0.303126037
146	0.3030276829
147	0.3029214937
148	0.3026760464
149	0.3026180203
150	0.302318764
151	0.3018603852
152	0.3015388909
153	0.3013125014
154	0.3011132353
155	0.3006495102
156	0.3004225215
157	0.3000525876
158	0.2997984525
159	0.2995343622
160	0.2992909889
161	0.299073195
162	0.2990454033
163	0.2987354773
164	0.2984059405
165	0.2981857039
166	0.2979967387
167	0.2976488815
168	0.2973544876
169	0.2969979426
170	0.296650431
171	0.296277847
172	0.2959892373
173	0.2957734022
174	0.2955030207
175	0.2952111156
176	0.2949708994
177	0.2946709287
178	0.2944405064
179	0.2942924453
180	0.2939734167
181	0.2935940116
182	0.2933622757
183	0.2931224282
184	0.2928405936
185	0.2924947643
186	0.2923653231
187	0.2921224338
188	0.2918643119
189	0.2916285203
190	0.2914139757
191	0.2910722483
192	0.2907056098
193	0.2903101195
194	0.2900740283
195	0.2898567874
196	0.2898485145
197	0.2894283665
198	0.289088621
199	0.2889457679
200	0.2888046202
201	0.2885476045
202	0.288157714
203	0.2879776901
