iter	Logloss
0	0.6228176996
1	0.5930894256
2	0.5684831299
3	0.5604918922
4	0.5520509819
5	0.5460747681
6	0.5400856539
7	0.5373858594
8	0.5355614101
9	0.5342931458
10	0.5326035648
11	0.5315879481
12	0.5301534441
13	0.5292649889
14	0.5283950467
15	0.5278152389
16	0.5271239343
17	0.5265604614
18	0.5251670461
19	0.5246184841
20	0.5236178621
21	0.5225292825
22	0.5219444485
23	0.52150998
24	0.5208422984
25	0.5188356094
26	0.5181753413
27	0.5175255025
28	0.5170605839
29	0.5164614254
30	0.5159980147
31	0.5153877567
32	0.5148931001
33	0.514396852
34	0.5139289596
35	0.5133780102
36	0.5127887783
37	0.5123275456
38	0.5117867741
39	0.5111345478
40	0.5107003726
41	0.5103645841
42	0.5099059901
43	0.5094549772
44	0.5089279439
45	0.5080801168
46	0.5075134188
47	0.5070399558
48	0.5067142615
49	0.5064495092
50	0.5060138261
51	0.5056331374
52	0.5053182912
53	0.5049107964
54	0.5045818351
55	0.5043230723
56	0.5037553691
57	0.5034040833
58	0.5029219921
59	0.5026460567
60	0.5021847821
61	0.5018144807
62	0.5013725987
63	0.5007137547
64	0.500234721
65	0.4999014875
66	0.4996787455
67	0.4992705386
68	0.4990136606
69	0.4985885324
70	0.4980971428
71	0.4975926434
72	0.4973036819
73	0.4967465754
74	0.4962004846
75	0.4959129053
76	0.4954940597
77	0.4951843234
78	0.4947194468
79	0.49429524
80	0.4939022791
81	0.4933884813
82	0.4926753549
83	0.4923860164
84	0.492020113
85	0.4917184604
86	0.4913998027
87	0.4910076795
88	0.490770948
89	0.4905665514
90	0.4902719773
91	0.4898660323
92	0.4894810713
93	0.489213806
94	0.4888157352
95	0.48868338
96	0.4883632145
97	0.487901186
98	0.4875504866
99	0.4871457143
100	0.486838156
101	0.4865047131
102	0.4862257619
103	0.4858844447
104	0.4855639022
105	0.4852096008
106	0.4849501679
107	0.484601814
108	0.4843107583
109	0.4841306547
110	0.4836381761
111	0.4832509953
112	0.4826047166
113	0.4823162577
114	0.4820280082
115	0.4816651204
116	0.481318065
117	0.4808561622
118	0.4804619866
119	0.480211517
120	0.4798782835
121	0.4797285462
122	0.4792107694
123	0.4788623318
124	0.4786268987
125	0.4782973091
126	0.4781322421
127	0.4778888928
128	0.4776443289
129	0.4774190319
130	0.4771365206
131	0.4766337803
132	0.4762675418
133	0.4759258057
134	0.4755325516
135	0.4752645743
136	0.4749723457
137	0.4747327661
138	0.4743027374
139	0.4739199544
140	0.4735483547
141	0.473299351
142	0.4729470181
143	0.4726668105
144	0.4722316718
145	0.4718155069
146	0.4714467972
147	0.4710748205
148	0.470720896
149	0.4705644153
150	0.4702700925
151	0.4700011518
152	0.4697841061
153	0.4695644635
154	0.4692554392
155	0.4689468338
156	0.4687174321
157	0.4683741045
158	0.4680688079
159	0.4677969772
160	0.4674750525
161	0.46706961
162	0.4666812565
163	0.4662840652
164	0.4658766961
165	0.4655767608
166	0.4653418722
167	0.4650699996
168	0.4648771212
169	0.464721897
170	0.4644506108
171	0.4640468437
172	0.4638586145
173	0.4635807943
174	0.4633068693
175	0.4629542432
176	0.462549052
177	0.4621393792
178	0.4618923022
179	0.4616830051
180	0.4614228183
181	0.4610692708
182	0.4607934191
183	0.4605666142
184	0.4603702176
185	0.459996021
186	0.4596481279
187	0.4593708521
188	0.4591042569
189	0.4588243006
190	0.4585506269
191	0.4581389017
192	0.4577357629
193	0.4574651468
194	0.4570582384
195	0.4567527324
196	0.4564850064
197	0.4562510393
198	0.456091878
199	0.455737032
